id;wallet_id;tpan
1;infomediaries;Producer
2;cross-platform Borders;bricks-and-clicks Concrete Licensed Cotton Keyboard
3;indigo invoice Metrics;Louisiana Research payment
4;niches utilize Books;Slovakia (Slovak Republic) Bedfordshire Practical Steel Tuna
5;Texas Indonesia Namibia;Metal
6;Concrete Uzbekistan Sum bricks-and-clicks;Hryvnia killer
7;Assurance Incredible Savings Account;haptic
8;Shirt Analyst Credit Card Account;Steel payment
9;knowledge user;Dynamic revolutionize Assurance
10;neural;Gorgeous SMTP
