id;tpan;hash_key;token_expiry;token_status;mask_pan;en_pan;expiry_date;tr_id;version;history_dt
1;El Salvador Colon US Dollar Avon;back-end;SAS Intelligent Plastic Bike;Movies Jewelery French Polynesia;conglomeration;Hills Handcrafted Concrete Car;expedite hard drive;mobile fresh-thinking;19235;2020-02-02T07:41:55
2;Handcrafted;Handmade;pink Practical;mesh Investment Account Borders;deposit Frozen;Digitized;Digitized blue Program;convergence Toys;35898;2020-02-02T09:32:43
3;Architect;Investment Account;program interactive;Rhode Island Buckinghamshire;Steel;Tactics customer loyalty;Serbian Dinar Kansas;Direct;4172;2020-02-02T08:34:39
4;maroon Cotton interactive;Gateway Iraq Triple-buffered;Home;Sports Personal Loan Account;Oregon Refined Granite Salad connecting;Kids Producer;Handcrafted non-volatile SMS;interface Place projection;97245;2020-02-02T18:51:43
5;one-to-one United Kingdom;Money Market Account Credit Card Account;deposit Berkshire;Pataca back up array;Configuration blue;Grocery;Bedfordshire;Wallis and Futuna;99603;2020-02-03T07:22:29
6;Credit Card Account;Automotive Handcrafted Concrete Mouse Home Loan Account;Marketing;wireless;multimedia implementation;Belarus;Identity Peru Buckinghamshire;mobile calculating;82904;2020-02-02T11:38:01
7;Group Cheese;Handcrafted Steel Shirt invoice User-centric;Program;Michigan;Personal Loan Account Handcrafted solid state;Credit Card Account Isle;cross-platform;Practical Plastic Shoes digital withdrawal;46765;2020-02-03T01:04:21
8;Optimization Avon content;bypassing Centralized;Jewelery;orange;European Monetary Unit (E.M.U.-6) Kids;green;core;Metal;52258;2020-02-03T01:18:01
9;overriding help-desk Computer;solid state;Versatile Direct input;Ergonomic Concrete Soap;cutting-edge compress;reintermediate;Canadian Dollar Granite Beauty;artificial intelligence Flats;2287;2020-02-02T22:07:35
10;Savings Account primary Direct;implement;red Auto Loan Account;Investment Account Georgia target;Auto Loan Account compelling invoice;Forward compressing;Steel Gloves;Credit Card Account Centralized Investment Account;93776;2020-02-02T21:40:08
